,iteration,median_filter_window_lateral_display,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,1,0.12479738570559762,0.3771114380404237,0.5525081178868406,0.2506467169882641
1,0,3,0.13090794581221737,0.37722156296839254,0.5514838903112056,0.25049746977940607
2,0,5,0.1326425114489094,0.3774030693849747,0.5512622796238151,0.25193890529676705
3,0,7,0.1326704032855678,0.3776348554926722,0.5529203524118331,0.2533772164818066
4,0,9,0.13374216092689842,0.3777172997015675,0.5520282300475682,0.25389307413920487
5,0,11,0.13492339229294112,0.37770058298229975,0.550766208015332,0.2533262302448841
6,0,13,0.13553402922996063,0.37788211660003496,0.5526977134233454,0.2535633598693821
7,0,15,0.13639613537275472,0.3779785598104131,0.5537559144815465,0.25374115288761134
8,0,17,0.13683686563934633,0.378051595441383,0.5524847315644684,0.2537009814256729
9,0,19,0.13704969017752935,0.37811558591326666,0.5522607875626012,0.2533206582186937
10,0,21,0.13729189422295363,0.37819484880799037,0.5522607875626012,0.25424758497685335
11,0,23,0.1373462864009846,0.3781577868367368,0.5532950167000478,0.25441319240248716
12,0,25,0.13725169066804951,0.3781861128175596,0.5532950167000478,0.253283462847026
13,0,27,0.13776624806209478,0.37816764654417684,0.552237037925076,0.2532385545036512
14,0,29,0.1378137853358501,0.3782222225463185,0.5522959307432215,0.25311200163535985
15,0,31,0.13793899015946512,0.37825647192893186,0.5518880688605828,0.2538905818083706
16,0,33,0.1381145589614616,0.3782711483335731,0.553173758318848,0.2538417700504495
17,0,35,0.13814949531062767,0.3784082895612201,0.5528968947194275,0.25428456358135276
18,0,37,0.1383931096503082,0.3784425382756286,0.5520595311782543,0.25459131042396016
19,0,39,0.1383779619816096,0.37861910047772235,0.5522283128028004,0.2551903615444951
20,0,41,0.13850799564292257,0.37869659973668324,0.5514720307552582,0.25560488110357704
21,0,43,0.13877987617421514,0.37888960029393143,0.551752372977503,0.2557086566086656
22,0,45,0.1389172661175183,0.3789673785512843,0.552208946218919,0.25642776099530046
23,0,47,0.13950243046683417,0.3788976214375319,0.5514458396420926,0.256195249219875
24,0,49,0.13935576844721131,0.3790053307095192,0.5514458396420926,0.2560770822248472
25,0,51,0.13936870075150007,0.37901440182424745,0.5514458396420926,0.2557173323673087
26,0,53,0.1399015094292202,0.3790206069532004,0.5507140567349545,0.25481626794170414
27,0,55,0.14033020073438077,0.3790333028938374,0.5492737737188567,0.2551814418889263
28,0,57,0.14061625371028147,0.3789834473762048,0.5492737737188567,0.25514893051717097
29,0,59,0.14068764716055024,0.3789763589792274,0.5490695274036117,0.25435222311741745
30,0,61,0.1406701897958523,0.37899601828610485,0.5490695274036117,0.25489942306960767
31,0,63,0.14084475516009012,0.3789791221770585,0.5470586955759121,0.25427234753306227
32,0,65,0.1409211149690712,0.3789126342547903,0.5479946183594403,0.2538146222774181
33,0,67,0.14108673122509777,0.3789207567584123,0.5481627686122313,0.25387194220822545
34,0,69,0.1413086170264989,0.3790402551581007,0.5472768699568081,0.25457545542183413
35,0,71,0.14173693521093383,0.37894641701821014,0.5466578777167156,0.2542866965723393
36,0,73,0.14235904443861627,0.3791069334441729,0.5466578777167156,0.25394960902068436
37,0,75,0.14272784399300548,0.37903063930948416,0.5466578777167156,0.2547946324215139
38,0,77,0.1425422677069055,0.37912237167585117,0.5481442122313136,0.2548722890353709
39,0,79,0.14243400456319114,0.3792244536807062,0.5481442122313136,0.25497234818412046
