,iteration,median_filter_window_none,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,1,0.12479738570559762,0.3771114380404237,0.5525081178868406,0.2506467169882641
1,0,3,0.1490113997084566,0.3775236530399699,0.5493954202004369,0.2591311458979766
2,0,5,0.1562122944146345,0.37770405751774755,0.5496937826437127,0.26068115195357416
3,0,7,0.16050246706870896,0.37813694472642884,0.5498386877548546,0.26129835832817416
4,0,9,0.1638734651311166,0.37856740787624993,0.5483479620244033,0.2629730240657756
5,0,11,0.1672762384214436,0.37912347105059113,0.5480297785969344,0.2636665598721496
6,0,13,0.16888893260968366,0.3796674198780597,0.548453904141965,0.26366199931180045
7,0,15,0.17042581812783758,0.380049302313964,0.5494822715953633,0.26360641992546546
8,0,17,0.1716401003670212,0.380426333356976,0.5492085822005462,0.2639551753213886
9,0,19,0.1736083515090408,0.38087776274403345,0.5510933791647862,0.2636169607800051
10,0,21,0.17285846768216132,0.38128702201786985,0.550833531037881,0.26372731762574225
11,0,23,0.17429859792615598,0.3817376786838544,0.5514864635139178,0.2640510536145925
12,0,25,0.17389392349858454,0.3821944005968773,0.55003980480919,0.264994869082942
13,0,27,0.1744155932956966,0.38249254581314523,0.5487700705933182,0.2651830640251987
14,0,29,0.17567063692452684,0.38295371611647916,0.548896899630569,0.265411572817049
15,0,31,0.1757767809127362,0.3833517672616484,0.548896899630569,0.2645555926281519
16,0,33,0.1767496332217952,0.3837462504566351,0.549080478367636,0.2650002262103769
17,0,35,0.17720374088305269,0.3841971406984616,0.5490567686867525,0.26542393442674295
18,0,37,0.1779165353360681,0.3845319893106121,0.5489874700143033,0.26607835223651216
19,0,39,0.17884423948673198,0.384866641822907,0.549264148277405,0.2656494755129867
20,0,41,0.17914210113864823,0.3851470222302648,0.5485414518774753,0.26677212548877527
21,0,43,0.17959915335022938,0.38553158216942196,0.5486901783586633,0.26653765178718103
22,0,45,0.17970516972030107,0.38594513417025017,0.548839730860975,0.26776507163480734
23,0,47,0.17974097367464714,0.386275353055194,0.5488971729764319,0.2678687277214761
24,0,49,0.17923108817738417,0.3867186874707072,0.5483178518830377,0.2679020825392341
25,0,51,0.18001326248529567,0.38704394745186893,0.5481341464186796,0.26824437767697046
26,0,53,0.17916033886544303,0.3873753966115205,0.5471878355213347,0.26930947541746686
27,0,55,0.1794224875755238,0.3877213888053963,0.5471878355213347,0.268516795784345
28,0,57,0.180108248832904,0.3879842367287753,0.5471736083122062,0.2693621533341963
29,0,59,0.18017719746453104,0.38816241973608817,0.5469324992103376,0.26887951046746933
30,0,61,0.18065719579006623,0.3884448909963763,0.5471573335734059,0.26958142620492453
31,0,63,0.18117680935621588,0.38882913214362913,0.5471573335734059,0.26992914052306605
32,0,65,0.18159095717060064,0.3890954341832552,0.5469731212758827,0.27081803255645004
33,0,67,0.18235747750520728,0.3894209636080603,0.5459736461590424,0.27177187356154325
34,0,69,0.18268473332818375,0.3896358016988842,0.545748881509607,0.2729999566388407
35,0,71,0.18243328724627772,0.3898700761873193,0.5455642905244393,0.2728107719576091
36,0,73,0.18198789831691528,0.39003494473279937,0.5445797686564559,0.27418811195716936
37,0,75,0.1828921566368873,0.3902297055268485,0.5439559861603861,0.27491836488342924
38,0,77,0.18289107298028487,0.3905455667270399,0.5436610613625297,0.2753376478108397
39,0,79,0.18321585935245221,0.3907745730574014,0.5432519027856122,0.276229573821953
40,0,81,0.1847236603771622,0.39127647619000083,0.5422206732446335,0.2761981235824291
41,0,83,0.18370316257880465,0.3915202169494903,0.5413806738182696,0.27537559920373156
42,0,85,0.183899764674734,0.3918613730344277,0.5416625327676475,0.2752025534141687
43,0,87,0.18363495567992832,0.3921009641169207,0.5414764095417586,0.2756124080539011
44,0,89,0.18392324401984703,0.39228190131831076,0.5409860870865224,0.27649633032212967
45,0,91,0.18451108705723146,0.39260941982671277,0.5404261655499459,0.27612480852016386
46,0,93,0.18619453759582516,0.39292901559696297,0.5404158575101227,0.27593688054150195
47,0,95,0.18782684377790587,0.39320487821484246,0.5399634995318048,0.2777261216980302
48,0,97,0.18970022954929325,0.39348844036142433,0.5378267131880079,0.27787345475026004
49,0,99,0.1904377487169294,0.39365124667118356,0.5373793952919147,0.28041026742740355
50,0,101,0.19053282012610975,0.3940100842048369,0.53866285801211,0.28107737484132944
51,0,103,0.1908374608353631,0.39440040939105186,0.5388455932578513,0.2811420592080529
52,0,105,0.1911487529938325,0.3946893434534465,0.5384698872283658,0.28078661495551877
53,0,107,0.19229377738577272,0.39488817877703264,0.5374201911188259,0.28170751733243554
54,0,109,0.19233850624421117,0.3950813613312719,0.5348629116083795,0.2831273936281168
55,0,111,0.19338078742492942,0.39528159703494675,0.5345722328973791,0.28355009825134875
56,0,113,0.19348223829096187,0.39553759546878814,0.5343825806275291,0.28279041117556486
57,0,115,0.1936639297167714,0.3957025832108755,0.5329211685253534,0.2835800737646531
58,0,117,0.19405966236964037,0.39600161892848457,0.5313048388840536,0.28427978337852694
59,0,119,0.19470637695884227,0.39619269357404,0.5313170199873705,0.28242572064999544
60,0,121,0.1964706339041984,0.39640873368994606,0.5302666618569961,0.28293092007892706
61,0,123,0.1971309937858503,0.3968207474375149,0.5294922002691245,0.28372255250932
62,0,125,0.19692898340954498,0.3967948423209996,0.526156976862483,0.2837824013419269
63,0,127,0.19852467731134554,0.39674616141935815,0.5261314988564949,0.2838249891756378
64,0,129,0.19989587353732388,0.39673983143045877,0.5294987065301051,0.2862479794777447
65,0,131,0.201389065153102,0.3965665162022102,0.5263959243023988,0.286562798586624
