,iteration,threshold_attack,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,0.0,0.7350893693548388,0.8278427698018969,0.6777791538407766,0.7293242719846682
1,0,0.01,0.7349258287668365,0.8279502225397595,0.6776235580937967,0.7298750143873342
2,0,0.02,0.7350638740456881,0.8280322778404074,0.6783325521828577,0.7297217872885291
3,0,0.03,0.7361829353331449,0.8280790108146069,0.6783325521828577,0.7295671996138986
4,0,0.04,0.7374664695113824,0.8281978296898845,0.6785206751210188,0.7316133129920965
5,0,0.05,0.7404080015629148,0.8283136911753002,0.6788352613535373,0.732732416216262
6,0,0.06,0.7432370908062752,0.8281778754484268,0.6781559506779221,0.7315493162144862
7,0,0.07,0.7466474270418403,0.828375724150602,0.6780382198161125,0.7325867478589347
8,0,0.08,0.7492316128900925,0.828431229387828,0.677543403862562,0.733112222647589
9,0,0.09,0.7498821062631915,0.8283585126334116,0.677733418246089,0.7334765069427218
10,0,0.1,0.7550349268946526,0.8284232860756243,0.6775824401921267,0.7346788498759227
11,0,0.11,0.7555684437089759,0.8285504799037956,0.6777743959313813,0.7343258674275505
12,0,0.12,0.7564435978039078,0.8285658632080586,0.6777743959313813,0.7358599234215157
13,0,0.13,0.7558954044792733,0.828377501129629,0.6772107506472677,0.7341195432734327
14,0,0.14,0.7547846262579065,0.827845654277584,0.6758182802240321,0.7332479566177306
15,0,0.15,0.7560832100874463,0.8280111559896258,0.6758182802240321,0.7325054800723879
16,0,0.16,0.7582583136227349,0.8279616240559111,0.6758182802240321,0.7329516884590984
17,0,0.17,0.759007117081126,0.8280418387630843,0.6760101877838262,0.7328788254603534
18,0,0.18,0.7634653878065999,0.8280391378612851,0.6760101877838262,0.7340884713232361
19,0,0.19,0.7634026695115211,0.8280417311392971,0.6760101877838262,0.734020433825682
20,0,0.2,0.7622002804702138,0.828104143299159,0.6757918618070721,0.733734962762397
21,0,0.21,0.7629868697014632,0.8283507875054905,0.6750918168341751,0.7345576358379831
22,0,0.22,0.764014568172172,0.82839990868418,0.6752835722948299,0.735394382978062
23,0,0.23,0.7637604875086462,0.8285066218011377,0.6749271031374166,0.736786037150276
24,0,0.24,0.7656469592015609,0.8288278434963956,0.6758182895989925,0.7374090196091453
25,0,0.25,0.7704637200578845,0.8286692774455776,0.6748920540345316,0.7389336009518529
26,0,0.26,0.7704637200578845,0.8286384598596584,0.6748920540345316,0.7398493302114374
27,0,0.27,0.7671634392563995,0.8283793498711477,0.6755919481796816,0.7381225074008267
28,0,0.28,0.7706119588504563,0.8283811039931431,0.6765055842905364,0.739706225253469
29,0,0.29,0.7700593693330695,0.8285348688935066,0.6767040050326447,0.7385169402375156
30,0,0.3,0.7702048873773071,0.8286772038478567,0.6770579467344766,0.7385988544320761
31,0,0.31,0.7706339687446335,0.828555332077869,0.6770579467344766,0.737807353588362
32,0,0.32,0.7703801787365434,0.8285822892767585,0.6763426761329281,0.7357226503687071
33,0,0.33,0.7718022674505491,0.8285252454563317,0.676696709510026,0.7366037548627997
34,0,0.34,0.7761752612832753,0.8282920080001456,0.6763323840114079,0.7358220222790858
35,0,0.35000000000000003,0.7761351080337031,0.828407961152238,0.6763323840114079,0.7376213045066886
36,0,0.36,0.7754655923641874,0.8283259459901338,0.6765330183161467,0.7379264654659621
37,0,0.37,0.7747138927082622,0.8283303724742126,0.677091483544241,0.7396103995439263
38,0,0.38,0.7749457021970044,0.8286042284474413,0.6769235053875245,0.7391761615679859
39,0,0.39,0.7789981846088658,0.8286337096770279,0.677835014458161,0.7402791788190856
40,0,0.4,0.7848616259699833,0.8287539471686097,0.6785457837002616,0.7417591372569962
41,0,0.41000000000000003,0.779951039620558,0.8288436707019725,0.6778171376280367,0.7391184316714702
42,0,0.42,0.7807593072203717,0.8290294872944064,0.6786000171754507,0.7405821904539864
43,0,0.43,0.7826850681370983,0.8290355386282529,0.6789483888136265,0.7407658499788272
44,0,0.44,0.78380279264675,0.8290183149235912,0.6793159632242995,0.7409935783798033
45,0,0.45,0.7834175447680259,0.8288583220627775,0.6789477840299709,0.7420090842615891
46,0,0.46,0.7825759108160771,0.8288999166329426,0.678939948709536,0.7409764862370936
47,0,0.47000000000000003,0.7855341942675684,0.8289962870822744,0.6781971014553179,0.7423668963074532
48,0,0.48,0.7875716585639785,0.8290635720076667,0.6776653285024884,0.7426999114071617
49,0,0.49,0.7885968984912604,0.8289497707344011,0.6776653285024884,0.7424407377717892
50,0,0.5,0.7912108477563525,0.8289167825590938,0.6776653285024884,0.740592423181601
51,0,0.51,0.7902947743653496,0.828899078731543,0.6777144469209715,0.7418826212288021
52,0,0.52,0.7971370650809655,0.8288822155869624,0.6781246634737025,0.7442551839432918
53,0,0.53,0.8002329786938174,0.8286468647837785,0.6784853115041958,0.7437684330978872
54,0,0.54,0.8013889241089786,0.8287805280188832,0.678460018498951,0.7434584345434728
55,0,0.55,0.8034935580540516,0.828887165301337,0.6776317071820974,0.7459040555080603
56,0,0.56,0.8121776802599452,0.8287592969491903,0.676533188991184,0.7480626817352682
57,0,0.5700000000000001,0.8141032821202825,0.8287335746656384,0.6759788306350653,0.7499583980799549
58,0,0.58,0.8140958093548963,0.8289730933754701,0.6759788306350653,0.7495142053670757
59,0,0.59,0.8140958093548963,0.8289758428356964,0.6762010511208737,0.7495142053670757
60,0,0.6,0.8129783859039748,0.8295930233211424,0.6754206231458099,0.7523560879610147
61,0,0.61,0.8144050909766406,0.8292552075687807,0.6746372960190015,0.7519675735945046
