,iteration,threshold_none,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,0.0,0.7253749136839188,0.8267732173616962,0.6575100100362025,0.7320980349693997
1,0,0.01,0.7275496442821703,0.8265526350186588,0.6569512190281466,0.7335900058500449
2,0,0.02,0.7286371044182728,0.8264734690121365,0.6569457733450065,0.7333863036639264
3,0,0.03,0.7262698050664406,0.8263030192495971,0.6573246301662806,0.7317437078150895
4,0,0.04,0.7251773211153723,0.8262317821156857,0.6571298865147834,0.7317751697189918
5,0,0.05,0.7250543583915723,0.8261733329543738,0.6569882595122036,0.7306800813563439
6,0,0.06,0.7230487147332949,0.8261128927996308,0.6573029697949735,0.7293809933115415
7,0,0.07,0.7226636797705588,0.8260657236663941,0.65679472614694,0.7288611758371376
8,0,0.08,0.7225581541906341,0.8259796656398123,0.6572665783046162,0.7282073491532122
9,0,0.09,0.7217341324972402,0.8259170657838051,0.6575809673439039,0.7275300009845053
10,0,0.1,0.7205594148943915,0.8258078449468307,0.6579422925002113,0.7268155926351061
11,0,0.11,0.7197776215855523,0.8257666769532781,0.6584475068437207,0.727855123625732
12,0,0.12,0.7199007213336317,0.8256782672555595,0.6581435228584274,0.7273261454346607
13,0,0.13,0.7200387666124831,0.8256561110212974,0.6581435228584274,0.7271506696881678
14,0,0.14,0.7195258430539571,0.8256171467258743,0.6581435228584274,0.7267957426769722
15,0,0.15,0.719518370288571,0.8255786694154283,0.6581435228584274,0.7267957426769722
16,0,0.16,0.7189760447426311,0.8255445552711003,0.6581435228584274,0.726413408851505
17,0,0.17,0.7192596080657201,0.8254765755381072,0.6583005902313612,0.7262779625338315
18,0,0.18,0.7175951106086125,0.8253777898485777,0.6593179840221102,0.7252290084800425
19,0,0.19,0.7180092464451668,0.8253353701267044,0.6593179840221102,0.7249194584924203
20,0,0.2,0.7174944658084503,0.8253751559148779,0.6589720263989064,0.7254910033641577
21,0,0.21,0.7166423918646985,0.8253028254020025,0.6592899241284921,0.7246312721747279
22,0,0.22,0.7161520471068379,0.825256871483437,0.6591289720259269,0.7231991705465844
23,0,0.23,0.7144679938740359,0.8251846306999061,0.6598674295384489,0.7231418367834401
24,0,0.24,0.7144679938740359,0.8251562671896095,0.6597216689912105,0.7233495922438234
25,0,0.25,0.714744084431739,0.8250881295224246,0.6595793562982755,0.7230014007660437
26,0,0.26,0.71446052110865,0.8250580750322651,0.65974067396838,0.723135729232435
27,0,0.27,0.7134122723070448,0.8250062287737655,0.6594381842141956,0.7228725413455728
28,0,0.28,0.7136883628647478,0.8249485816100846,0.6595948313896663,0.722738175992758
29,0,0.29,0.712446413977532,0.8248962631790194,0.6595948313896663,0.722593756095949
30,0,0.3,0.7125354349081287,0.8248401556994904,0.659908022973102,0.7224232516112096
31,0,0.31,0.712474453189824,0.8247712054804344,0.659908022973102,0.7219995913947408
32,0,0.32,0.7121908898667351,0.8247091757941003,0.6599221273540108,0.7217126524417735
33,0,0.33,0.710296614663138,0.8246374148133984,0.6600786108250686,0.7205851457469425
34,0,0.34,0.7082621572564882,0.8244540495510175,0.6599500108354553,0.7179859536114066
35,0,0.35000000000000003,0.7079785939333993,0.8243961809156857,0.6599500108354553,0.7176923340090642
36,0,0.36,0.7081166392122508,0.824369799336247,0.6599500108354553,0.7175196796049907
37,0,0.37,0.7082546844911022,0.8242917921477254,0.6596008590169454,0.7171342127921765
38,0,0.38,0.707478628143351,0.8242315402247166,0.6597572096747828,0.7172920537524771
39,0,0.39,0.70776219146644,0.824223645086006,0.6597708646948153,0.7175747507370298
40,0,0.4,0.7063124525488116,0.8241667372691688,0.6599271210629774,0.7167084349711373
41,0,0.41000000000000003,0.7063124525488116,0.8241076570497885,0.6599271210629774,0.7167084349711373
42,0,0.42,0.7065960158719007,0.8240374876150994,0.6600833439671184,0.7167835606161354
43,0,0.43,0.7067340611507522,0.8239735231113785,0.6599241167609121,0.7163869188851775
44,0,0.44,0.7071556697526925,0.8239293090463922,0.659937562202045,0.7160781723874469
45,0,0.45,0.7064171431080899,0.8238966102258525,0.6602498487863764,0.7158943218778022
46,0,0.46,0.7055433453512303,0.823849252796279,0.6602498487863764,0.7162921655363178
47,0,0.47000000000000003,0.7042323929173159,0.82364061762184,0.6599641292593419,0.7144160996540064
48,0,0.48,0.7057841314608113,0.8235359345244297,0.6601707411840478,0.7151143847436501
49,0,0.49,0.7070767889493687,0.8234049133262323,0.6599772509590092,0.7150300334536495
50,0,0.5,0.7069109119877811,0.82331158092673,0.6599902648275762,0.7149825588808892
51,0,0.51,0.7066022408624693,0.8231527289776935,0.6598601355205923,0.7138724453786589
52,0,0.52,0.7064343142087834,0.8229890162911482,0.6597423743724866,0.7132166129489733
53,0,0.53,0.7059319243546149,0.822861781809247,0.659693882117671,0.7126438302159168
54,0,0.54,0.7059121905476448,0.822803005886415,0.6595753567374392,0.7119690126203189
55,0,0.55,0.7051995458572293,0.822692162854012,0.6595875390572591,0.7121961028320093
56,0,0.56,0.7072849944913407,0.8225510968993984,0.6599681087738247,0.7123176141532173
57,0,0.5700000000000001,0.7050056657266578,0.822357904814611,0.6598340302075756,0.7118611606595865
58,0,0.58,0.703871412434302,0.8222949595233924,0.6598455780395182,0.7123746183567009
59,0,0.59,0.7041325671479426,0.822281248921024,0.6600121206281403,0.7116187099928503
60,0,0.6,0.7039357759895415,0.8221405256005322,0.6601784099298701,0.710087194251227
61,0,0.61,0.703790257945304,0.822051988171904,0.6604883451491669,0.7100402670045171
