,iteration,threshold_investigation,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,0.0,0.7901924072297088,0.8321832216892217,0.6927369805932189,0.7504210362661252
1,0,0.01,0.7878196117919136,0.8320725491783014,0.6918980923407416,0.750207987583619
2,0,0.02,0.7826660800825268,0.8319485776946134,0.6922428371523304,0.7491891098194858
3,0,0.03,0.7808263596461116,0.8318920045923616,0.6920122404863607,0.7491810233014191
4,0,0.04,0.780007746275787,0.8318207966163973,0.6913723752675145,0.7485656760435824
5,0,0.05,0.7789297174161457,0.8317620022573491,0.6910749093728731,0.7498460381409394
6,0,0.06,0.7766344381576727,0.8316635682994195,0.6907330750188271,0.7488323517400263
7,0,0.07,0.7729057938448541,0.8315704754500604,0.6907330750188271,0.7465839986184662
8,0,0.08,0.770931035802152,0.8314718930632401,0.6900943332737678,0.7460066329110482
9,0,0.09,0.769515754619651,0.8313008325222729,0.6895235403271965,0.7449954920957834
10,0,0.1,0.7657372274323708,0.8310760271742574,0.6895194788176093,0.7422006000610561
11,0,0.11,0.7630649753750318,0.8309723865836487,0.6889501835080345,0.7417038265417244
12,0,0.12,0.7618422162715738,0.8307756782134472,0.6889134768099456,0.74179606834825
13,0,0.13,0.7576734976700384,0.8307110170806801,0.6883560826307215,0.7395800972925316
14,0,0.14,0.7555844678365906,0.8305733139840709,0.6882339730470469,0.7386602541626065
15,0,0.15,0.7521251176929263,0.8303672026737592,0.6880076610270311,0.7365917893253028
16,0,0.16,0.7491046885697469,0.8302357811351625,0.6877088398410941,0.736210057205579
17,0,0.17,0.7488586260978675,0.8301196417325263,0.6873376879719771,0.7355418214741347
18,0,0.18,0.7473809287556609,0.8299917932415081,0.6871434334721257,0.7353584750728925
19,0,0.19,0.7450735370315595,0.8297926758647829,0.6868043248804896,0.7336718973359176
20,0,0.2,0.7446264096498982,0.8296052421436351,0.6860955549899034,0.7319403348662876
21,0,0.21,0.7411616591157757,0.8295435593897834,0.6854548255714956,0.7312331660430249
22,0,0.22,0.7378282835815723,0.8294658846473135,0.6854548255714956,0.7293759118998691
23,0,0.23,0.7366516493525301,0.8293038941048132,0.6854887334184685,0.7297862193092801
24,0,0.24,0.7341029500633843,0.8290998767861688,0.685002984857276,0.7279852295403334
25,0,0.25,0.7331841217173806,0.8290012557523121,0.685002984857276,0.7265969941251086
26,0,0.26,0.7321997731729387,0.8288623154129089,0.6851477708771146,0.7265021757782626
27,0,0.27,0.7312881518490022,0.8287673385914671,0.6845864079390342,0.7242490298445606
28,0,0.28,0.7289638938451575,0.8285564384222242,0.6842109157215163,0.7233113480622891
29,0,0.29,0.729577473448703,0.8285279817649047,0.6831811951355449,0.7241267134649947
30,0,0.3,0.7279825068687338,0.828589648396886,0.6837341701850039,0.7238323027934186
31,0,0.31,0.7270772532168062,0.8284702169493845,0.6844066866902775,0.7241616558866792
32,0,0.32,0.7262184009907188,0.8281418853133669,0.683739403557535,0.72434575879724
33,0,0.33,0.7240056657432139,0.827946774600888,0.6850093014644847,0.7230348150111777
34,0,0.34,0.7230068609933901,0.8278605948021405,0.6843405347472629,0.7214782076538953
35,0,0.35000000000000003,0.7223250004820672,0.8276004957556051,0.6841503595943127,0.7208425268082883
36,0,0.36,0.7221681189298219,0.8274372896897502,0.6837832468472369,0.720179477715766
37,0,0.37,0.7201939554983948,0.8272312129522493,0.6846117553155794,0.718864541484741
38,0,0.38,0.7182484166634562,0.8268769706970851,0.684578670014429,0.7189657839864764
39,0,0.39,0.7156035784099625,0.826652972738352,0.684061780496422,0.7178571109346255
40,0,0.4,0.7135707410384526,0.8263293379043245,0.6837249033182577,0.7167278700934776
41,0,0.41000000000000003,0.7142583910951891,0.8260542264482919,0.6830168864787068,0.7174696632516444
42,0,0.42,0.7133582492683481,0.8260236667089936,0.6830168864787068,0.7171072038774982
43,0,0.43,0.7132426222856548,0.8257715018414555,0.6821686706067058,0.713569197898965
44,0,0.44,0.7124386599298875,0.8257407231273629,0.6818371518679958,0.7127235669131919
45,0,0.45,0.7075673622461449,0.8260181433086287,0.6819831306434427,0.711993537925959
46,0,0.46,0.7065044151598436,0.8259462241705371,0.6816068663477182,0.7122963844649097
47,0,0.47000000000000003,0.7048106859517651,0.8257106392669685,0.6814987741219548,0.7118664183256999
48,0,0.48,0.7020097864168633,0.8253470195166944,0.6819978714151073,0.7111132312782456
49,0,0.49,0.7014841552552209,0.8252043084707475,0.6816598895471155,0.7097170347480033
50,0,0.5,0.7000285896999136,0.8250216460865522,0.6812659636452514,0.7096088998218849
51,0,0.51,0.7010242982547694,0.8248527485488301,0.6806008226326196,0.7087072417070626
52,0,0.52,0.6998178745827477,0.8246828109779802,0.6797619782314358,0.708607204560439
53,0,0.53,0.6955527443333275,0.8246303977809515,0.6788717628375269,0.7080256307625331
54,0,0.54,0.691684328943792,0.8242390869109024,0.6773088859949048,0.7074835872513371
55,0,0.55,0.6876146377998603,0.8238726138430568,0.6758415111319673,0.7053003975989507
56,0,0.56,0.6863804535502213,0.8235002536914849,0.6763300808011494,0.7022391526246055
57,0,0.5700000000000001,0.6854230531169985,0.8234838068550181,0.6771499310067142,0.7006176268907247
58,0,0.58,0.6865257013608369,0.823336965515473,0.6759669522307467,0.701851741524379
59,0,0.59,0.6824762497582103,0.8232903233670787,0.6755214522298496,0.7006723711041724
60,0,0.6,0.6845051038164782,0.8231079881351768,0.6750186268334523,0.7001482051982227
61,0,0.61,0.682424646863065,0.8225346458478546,0.6754051370327417,0.6969154165684384
