,iteration,median_filter_window,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,3,0.2965152137773057,0.789919215575453,0.7447363217067775,0.48600590126847093
1,0,5,0.3904148802225531,0.7961282651149622,0.7464632009427439,0.5206136514099886
2,0,7,0.46304612651716803,0.8010561766565605,0.7476250587720317,0.5506933477477814
3,0,9,0.5234357942513046,0.8053262249460864,0.7479056278540158,0.5734396589496638
4,0,11,0.5751648074271299,0.8098061078581884,0.7475914291210198,0.5988560056676347
5,0,13,0.6119239594630429,0.8124135232614336,0.7494779739267481,0.615095934979082
6,0,15,0.6575997679067896,0.8146001685901787,0.7472575923598936,0.6327879870334592
7,0,17,0.6865337654940951,0.8165094302498623,0.7441521543608435,0.6432968848986415
8,0,19,0.7035684595736398,0.8177080849521648,0.7395632969105221,0.6525908642694392
9,0,21,0.7258209765937244,0.819553926979886,0.7337099686092535,0.6659161077571271
10,0,23,0.7450167883426357,0.820818965880697,0.7305725381243925,0.6778915575523993
11,0,25,0.7580052471471315,0.8223307610722328,0.7281695166963514,0.6850707505398448
12,0,27,0.7635054819157625,0.8228462562443077,0.7259945731477394,0.689692852352698
13,0,29,0.7770126451704065,0.8243395912609746,0.7227389381710302,0.6994181868609446
14,0,31,0.784754878626025,0.8261122238588525,0.7217668135576559,0.7108527447134225
15,0,33,0.7871793497522311,0.8275277969244602,0.7195535886483969,0.7171425912189746
16,0,35,0.7794834273779327,0.8287733286298937,0.7154183086086409,0.7224228725462671
17,0,37,0.7790476789183998,0.8299136221319839,0.7113858703990575,0.7229305747424257
18,0,39,0.7828898781547637,0.830341125027006,0.7088928724644784,0.7270890190247088
19,0,41,0.7789257488709188,0.8314087789699921,0.7061861867067701,0.7289803690422623
20,0,43,0.782845132779962,0.8320356122194387,0.7020417264044017,0.737830531600284
21,0,45,0.784133383612625,0.8323564882729283,0.697589292689738,0.7469755822412938
22,0,47,0.7901924072297088,0.8321832216892217,0.6927369805932189,0.7504210362661252
23,0,49,0.788678406933567,0.8326024579932689,0.6914423013688851,0.7515480866272466
24,0,51,0.7924257637211768,0.8327324435704477,0.6871019181385857,0.7469172050150964
25,0,53,0.7923618529209924,0.8324754068717802,0.6818447564861585,0.7476414054464877
26,0,55,0.8043353444407116,0.8337524999841054,0.6818034980415832,0.7571768886554011
27,0,57,0.8050863265203158,0.834994081018041,0.6791945745727602,0.7665733364704207
28,0,59,0.8069346276101436,0.835364639995942,0.6774252794443887,0.7682657938479498
29,0,61,0.8164204064306448,0.8359343139393878,0.6751984764044494,0.7693759174241868
30,0,63,0.7975479166014562,0.8362114105665408,0.6744115759284242,0.7726173026852374
31,0,65,0.7783316144748009,0.8364922231248857,0.6705771512232467,0.7767345364755356
32,0,67,0.7636746305320599,0.8369392837495002,0.6677186864963668,0.7869937865417709
33,0,69,0.7781976485285781,0.8357050582493263,0.6617405247801496,0.7797965851792121
34,0,71,0.7525216862102433,0.8366328051663092,0.662210156104295,0.7904127225290686
35,0,73,0.7373683115504918,0.8359264185281313,0.6567572160923473,0.7886406443010101
36,0,75,0.7220301574135914,0.8359212736515,0.6498189811672729,0.7939971094056213
37,0,77,0.7101528485604679,0.8343544223179178,0.6430645860547519,0.7942706097603568
38,0,79,0.7007269826244337,0.8350341539252418,0.6443225078975034,0.7914337686608998
39,0,81,0.6821754894693306,0.8345806443347646,0.6405912422639275,0.7991783498456063
40,0,83,0.6664097829386058,0.8337032375128266,0.6388769465648408,0.8087480324583253
41,0,85,0.6659266410359884,0.8334989297236997,0.6360457261907196,0.8082912688893941
42,0,87,0.6729451921697701,0.8324144361832133,0.6314168248984163,0.8034487342903804
43,0,89,0.6726221996708931,0.8317883349120513,0.6291586888519861,0.7969226514515408
44,1,3,0.30310407600797873,0.7883964569966656,0.745552925048431,0.49279966158397115
45,1,5,0.397849697875204,0.7943343269279001,0.7480100243808874,0.5268435740481207
46,1,7,0.46963468095238625,0.7994680208345099,0.7484841787039151,0.5546464666063713
47,1,9,0.5263737420219994,0.8041855940193662,0.7483898074456499,0.5795079652835694
48,1,11,0.5794661724603706,0.8078671269507753,0.7508502619573386,0.6039355519234295
49,1,13,0.6197280331945928,0.8106535223944688,0.7484363592901633,0.6173243865291955
50,1,15,0.6569518363929215,0.8127823357170337,0.7479804271585557,0.6315361039822893
51,1,17,0.6938240561998859,0.8144946036225788,0.7409614926808562,0.6469517247709706
52,1,19,0.7078157413849189,0.8163809284449768,0.738445404727168,0.6566409151929888
53,1,21,0.7232313262465166,0.8181795359231531,0.7360634023465367,0.6688208231613607
54,1,23,0.7418543922893607,0.8197964653459171,0.7326753720415032,0.6795010596337611
55,1,25,0.7507747134781234,0.8210323236212993,0.7303358943930495,0.6839894208672083
56,1,27,0.7705519038249051,0.8223009371521255,0.7273310687395178,0.6932947154404219
57,1,29,0.778478759276566,0.8230636630678565,0.7245004267150386,0.7001642687794415
58,1,31,0.7701155035825252,0.8241564144038982,0.7211193612731934,0.7069973070457269
59,1,33,0.7729171694067797,0.8254366757390894,0.7183741227071945,0.714886724602133
60,1,35,0.7688678982013895,0.8265664490984501,0.7173625072473877,0.7218915284671044
61,1,37,0.7678524882901863,0.8273429673806592,0.7162658129801713,0.7301176618418193
62,1,39,0.7696934645718864,0.8284189556119308,0.7115077640709224,0.7305016489675544
63,1,41,0.7777118106354715,0.8291648144195286,0.7049377532845122,0.7362403270569533
64,1,43,0.7752623734083918,0.8293509572935657,0.7018876607112301,0.7402517257833175
65,1,45,0.7778908181496471,0.8299756203580096,0.7008609992298576,0.7470756704077683
