,iteration,threshold_mount,category_count_score,f1_per_timestamp,f1_per_annotation,f1_per_prediction
0,0,0.0,0.7350893693548388,0.8278427698018969,0.6777791538407766,0.7293242719846682
1,0,0.01,0.7346915337893971,0.8276277329158903,0.6762373323388674,0.7268862821694728
2,0,0.02,0.7359796998719186,0.8275968660086892,0.6762373323388674,0.7264627063705207
3,0,0.03,0.7357078049823071,0.8276563004376829,0.6762714483665814,0.7260011341448945
4,0,0.04,0.7363927111249634,0.8277005725269523,0.6766836966797962,0.7253697125001297
5,0,0.05,0.7352920717518804,0.8277489161726507,0.6769055629784467,0.7240245205060871
6,0,0.06,0.7380098804760706,0.8277974966509271,0.6769055629784467,0.7240255518351519
7,0,0.07,0.738245233176555,0.8278411971955197,0.6769055629784467,0.723914584340263
8,0,0.08,0.7399367529970499,0.8278773926175447,0.6769055629784467,0.7245966496961428
9,0,0.09,0.7401909509776102,0.8278941506043657,0.6769055629784467,0.7247993980725789
10,0,0.1,0.7380345614181205,0.8278773905755581,0.6772836482211034,0.7225188847408079
11,0,0.11,0.7388257894489167,0.8279133267407122,0.6772836482211034,0.7229418094215376
12,0,0.12,0.7392573310448884,0.8278488861814263,0.6773235048871773,0.7228367619673506
13,0,0.13,0.7390335864966469,0.8279071336247512,0.6777031896807426,0.7221313062855061
14,0,0.14,0.7396149740848865,0.8279567833088323,0.6778584554631748,0.721350287348915
15,0,0.15,0.7405825688611121,0.8279766365890111,0.6778584554631748,0.7211578209636034
16,0,0.16,0.7407843780432941,0.8280318175976789,0.6786917925844772,0.7209535111753617
17,0,0.17,0.740041672411305,0.8280670924725662,0.6786917925844772,0.7209618923316615
18,0,0.18,0.7414902422837639,0.828067463765243,0.6786917925844772,0.7210922710726811
19,0,0.19,0.7411531700077565,0.8280612768339564,0.6790746587211003,0.7210182552430945
20,0,0.2,0.7411531700077565,0.8280751206813972,0.6790746587211003,0.7210182552430945
21,0,0.21,0.7426075212438055,0.8280472620420951,0.6778280246380723,0.7208587504215592
22,0,0.22,0.742745566522657,0.8281029481311329,0.6778280246380723,0.7206942928177178
23,0,0.23,0.742745566522657,0.828133145928768,0.6778280246380723,0.7206942928177178
24,0,0.24,0.7437381145553605,0.8282327315460936,0.6778280246380723,0.7206800308021628
25,0,0.25,0.745069152907411,0.8283929797333103,0.6778280246380723,0.7207250958989878
26,0,0.26,0.7453527162305,0.8284214509105777,0.6778280246380723,0.7201503623850694
27,0,0.27,0.7454907615093515,0.8284948576913005,0.6778280246380723,0.7197411899882338
28,0,0.28,0.7454907615093515,0.8285750191345155,0.6778280246380723,0.7194831025985925
29,0,0.29,0.746625749267415,0.8286727039956158,0.6778280246380723,0.7195771243457063
30,0,0.3,0.7476074931103526,0.8288371555403257,0.6778280246380723,0.7197448327896175
31,0,0.31,0.7484771914990999,0.8288861488738779,0.6782110611838451,0.7203281901499123
32,0,0.32,0.7494986290040997,0.8289571170719626,0.6773697350321877,0.7202153858323367
33,0,0.33,0.7487532820568028,0.8289687743644608,0.6768787194589125,0.7188787400540774
34,0,0.34,0.7488988001010403,0.8290141344499636,0.6769271013518471,0.718455519904018
35,0,0.35000000000000003,0.7484236825461813,0.8291877478796602,0.677698823427501,0.7187623960215433
36,0,0.36,0.7485037380636036,0.8295347693206712,0.677698823427501,0.7186040191378659
37,0,0.37,0.747479167962057,0.8296361468224912,0.677698823427501,0.7189750157883368
38,0,0.38,0.7461337966539356,0.8296287785836933,0.677698823427501,0.7191214446721231
39,0,0.39,0.7443607470085456,0.8296991270516614,0.6779838536906235,0.7207952676190974
40,0,0.4,0.7436197402300881,0.8296344738793037,0.6781927272106034,0.7201463328085432
41,0,0.41000000000000003,0.7400825891885299,0.8298398337685552,0.6781927272106034,0.7217955141462034
42,0,0.42,0.7384475848219914,0.8300781126476088,0.6781927272106034,0.7224789495043366
43,0,0.43,0.7384475848219914,0.8301799206226375,0.6781927272106034,0.7222848072871846
44,0,0.44,0.7369624259265226,0.8303371125170639,0.6776513660920577,0.7231832776222744
45,0,0.45,0.7371004712053741,0.8303648486425095,0.6779427425833365,0.7232351592064546
46,0,0.46,0.7356181380080278,0.8305614797056822,0.6779427425833365,0.7230492933288626
47,0,0.47000000000000003,0.736767598500074,0.8306206161889265,0.6766761644658772,0.7218219102495824
48,0,0.48,0.7369056437789255,0.8306681363569511,0.6769121086923506,0.7214063842929355
49,0,0.49,0.7379302138804721,0.8307365683916555,0.6769121086923506,0.7212121373948985
50,0,0.5,0.739545018415789,0.8309882931459857,0.6769121086923506,0.7205191453454549
51,0,0.51,0.738658493593094,0.831128398174518,0.6769121086923506,0.7209311661366382
52,0,0.52,0.7392308745397215,0.8312249091943091,0.6771491237999685,0.7209150586789876
53,0,0.53,0.7398060043565915,0.8312516867690449,0.676839616745758,0.7204013363487616
54,0,0.54,0.7396524831416618,0.8313608660467582,0.6773504319095947,0.7205209500477532
55,0,0.55,0.7365787728370223,0.8315510489689554,0.677983949047119,0.7216572430250692
56,0,0.56,0.7364054231100489,0.8317955347157899,0.6788897729745623,0.7213484864541495
57,0,0.5700000000000001,0.7343562829069559,0.8318494266354565,0.6788897729745623,0.7216262005617884
58,0,0.58,0.7319984715785511,0.8319776344864578,0.6791315275145982,0.7216624752823402
59,0,0.59,0.7321365168574026,0.8320248917736123,0.6793744533061243,0.721701052541609
60,0,0.6,0.7308059748233188,0.8320329901874717,0.6793744533061243,0.7213533829365919
61,0,0.61,0.729338897110466,0.8320229969981543,0.6801712984751384,0.7225474979302251
